"Tectonic UNIT" "Area" "Subarea" "Strike of Si" "Mineral" "Type"
"1" "MULHACEN" "Sierra Nevada NW" "A" 114 "Grt" "Truncation"
"2" "MULHACEN" "Sierra Nevada NW" "A" 118 "Grt" "core/simple"
"3" "MULHACEN" "Sierra Nevada NW" "A" 45 "Grt" "core/simple"
"4" "MULHACEN" "Sierra Nevada NW" "A" 146 "Grt" "core/simple"
"5" "MULHACEN" "Sierra Nevada NW" "A" 4 "Grt" "core/simple"
"6" "MULHACEN" "Sierra Nevada NW" "A" 50 "Grt" "core/simple"
"7" "MULHACEN" "Sierra Nevada NW" "A" 62 "Grt" "core/simple"
"8" "MULHACEN" "Sierra Nevada NW" "A" 150 "Grt" "core/simple"
"9" "MULHACEN" "Sierra Nevada NW" "A" 148 "Grt" "core/simple"
"10" "MULHACEN" "Sierra Nevada NW" "A" 3 "Grt" "core/simple"
"11" "MULHACEN" "Sierra Nevada NW" "A" 62 "Grt" "core/simple"
"12" "MULHACEN" "Sierra Nevada NW" "A" 115 "Grt" "core/simple"
"13" "MULHACEN" "Sierra Nevada NW" "A" 3 "Grt" "core/simple"
"14" "MULHACEN" "Sierra Nevada NW" "A" 98 "Grt" "core/simple"
"15" "MULHACEN" "Sierra Nevada NW" "A" 4 "Grt" "core/simple"
"16" "MULHACEN" "Sierra Nevada NW" "A" 94 "Grt" "core/simple"
"17" "MULHACEN" "Sierra Nevada NW" "A" 48 "Grt" "core/simple"
"18" "MULHACEN" "Sierra Nevada NW" "A" 39 "Grt" "core/simple"
"19" "MULHACEN" "Sierra Nevada NW" "A" 6 "Grt" "core/simple"
"20" "MULHACEN" "Sierra Nevada NW" "A" 97 "Grt" "Truncation"
"21" "MULHACEN" "Sierra Nevada NW" "A" 109 "Grt" "Truncation"
"22" "MULHACEN" "Sierra Nevada NW" "A" 143 "Grt" "core/simple"
"23" "MULHACEN" "Sierra Nevada NW" "A" 61 "Grt" "core/simple"
"24" "MULHACEN" "Sierra Nevada NW" "A" 142 "Grt" "core/simple"
"25" "MULHACEN" "Sierra Nevada NW" "A" 141 "Grt" "core/simple"
"26" "MULHACEN" "Sierra Nevada NW" "A" 161 "Grt" "core/simple"
"27" "MULHACEN" "Sierra Nevada NW" "A" 116 "Grt" "core/simple"
"28" "MULHACEN" "Sierra Nevada NW" "A" 116 "Grt" "core/simple"
"29" "MULHACEN" "Sierra Nevada NW" "A" 163 "Grt" "core/simple"
"30" "MULHACEN" "Sierra Nevada NW" "A" 126 "Grt" "core/simple"
"31" "MULHACEN" "Sierra Nevada NW" "A" 173 "Grt" "core/simple"
"32" "MULHACEN" "Sierra Nevada NW" "A" 31 "Grt" "core/simple"
"33" "MULHACEN" "Sierra Nevada NW" "A" 43 "Grt" "core/simple"
"34" "MULHACEN" "Sierra Nevada NW" "A" 90 "Grt" "core/simple"
"35" "MULHACEN" "Sierra Nevada NW" "A" 84 "Grt" "core/simple"
"36" "MULHACEN" "Sierra Nevada NW" "A" 83 "Grt" "core/simple"
"37" "MULHACEN" "Sierra Nevada NW" "A" 67 "Grt" "core/simple"
"38" "MULHACEN" "Sierra Nevada NW" "A" 85 "Grt" "core/simple"
"39" "MULHACEN" "Sierra Nevada NW" "A" 108 "Grt" "core/simple"
"40" "MULHACEN" "Sierra Nevada NW" "A" 98 "Grt" "core/simple"
"41" "MULHACEN" "Sierra Nevada NW" "A" 96 "Grt" "core/simple"
"42" "MULHACEN" "Sierra Nevada NW" "A" 75 "Grt" "core/simple"
"43" "MULHACEN" "Sierra Nevada NW" "A" 3 "Grt" "core/simple"
"44" "MULHACEN" "Sierra Nevada NW" "A" 171 "Grt" "core/simple"
