angle	weight	group
2.97	0.62	1
-0.36	0.63	1
1.37	1.17	1
-0.72	0.75	1
-0.94	1.57	1
0.74	1.74	1
0.59	0.83	1
-0.01	1.70	1
2.23	0.12	1
3.14	0.58	1
1.90	1.67	1
-1.61	0.17	1
2.12	1.34	1
-1.13	0.23	1
1.96	1.41	1
1.62	1.58	2
-1.34	0.27	2
1.85	1.13	2
0.90	1.28	2
0.71	1.30	2
-3.01	0.23	2
0.33	1.22	2
-3.12	0.25	2
2.79	1.00	2
0.10	1.66	2
1.18	1.47	2
1.55	1.70	2
-0.86	1.03	2
-1.43	0.80	2
2.21	1.68	2
-2.91	1.56	3
-1.50	1.45	3
1.21	0.94	3
-2.80	0.44	3
-0.09	1.28	3
-1.01	1.48	3
-0.73	1.15	3
1.22	2.03	3
0.69	2.14	3
2.03	1.74	3
3.10	1.36	3
-1.84	0.67	3
-1.48	1.65	3
-0.09	1.14	3
1.90	2.10	3
-0.31	0.83	4
-2.32	0.49	4
-1.33	0.79	4
1.91	0.74	4
-1.34	0.40	4
2.67	0.32	4
3.12	0.42	4
1.72	1.73	4
2.20	0.51	4
2.24	0.93	4
-2.22	1.11	4
-2.09	1.30	4
2.52	0.46	4
0.64	0.81	4
2.24	0.28	4
